"コード","銘柄名","市場","現在値","前日比(%)","株価(円)","株価騰落【率】(%)","時価総額(百万円)","出来高増加率(倍)"
"5891","魁力屋","東S","1616","+3.0(+0.19%)","1,616.0","0.19","9,144","1.51"
"5892","ｙｕｔｏｒｉ","東G","2817","+29.0(+1.04%)","2,817.0","1.04","14,479","1.42"
"5900","ダイケン","東S","850","+5.0(+0.59%)","850.0","0.59","5,075","0.93"
"5901","東洋製罐グループＨＬＤＧ","東P","3969.0","+6.0(+0.15%)","3,969.0","0.15","607,901","0.98"
"5902","ホッカンＨＬＤＧ","東P","2401","+9.0(+0.38%)","2,401.0","0.38","32,340","1.92"
"5903","シンポ","東S","1209","+7.0(+0.58%)","1,209.0","0.58","7,424","0.71"
"5905","日本製罐","東S","1341","-8.0(-0.59%)","1,341.0","-0.59","1,867","0.30"
"5906","エムケー精工","東S","698","-6.0(-0.85%)","698.0","-0.85","10,885","0.37"
"5909","コロナ","東S","966","-10.0(-1.02%)","966.0","-1.02","28,345","0.33"
"5911","横河ブリッジＨＬＤＧ","東P","3200","+25.0(+0.79%)","3,200.0","0.79","138,127","0.91"
"5915","駒井ハルテック","東S","1997","+8.0(+0.40%)","1,997.0","0.40","9,931","1.12"
"5918","瀧上工業","東S","7260","+0.0(+0.00%)","7,260.0","0.00","19,585","0.14"
"5921","川岸工業","東S","4415","-35.0(-0.79%)","4,415.0","-0.79","13,245","0.21"
"5922","那須電機鉄工","東S","17400","-50.0(-0.29%)","17,400.0","-0.29","20,880","0.20"
"5923","高田機工","東S","1219","+9.0(+0.74%)","1,219.0","0.74","8,183","1.62"
"5928","アルメタックス","東S","279","+1.0(+0.36%)","279.0","0.36","3,324","0.63"
"5929","三和ＨＬＤＧ","東P","4146.0","+38.0(+0.93%)","4,146.0","0.93","916,266","0.77"
"5930","文化シヤッター","東P","2086","+3.0(+0.14%)","2,086.0","0.14","150,602","0.72"
"5932","三協立山","東P","650","-3.0(-0.46%)","650.0","-0.46","20,511","1.37"
"5933","アルインコ","東P","1148","+9.0(+0.79%)","1,148.0","0.79","24,153","1.23"
"5936","東洋シヤッター","東S","965","-4.0(-0.41%)","965.0","-0.41","6,164","0.52"
"5938","ＬＩＸＩＬ","東P","1868.0","-7.0(-0.37%)","1,868.0","-0.37","537,078","0.73"
"5939","大谷工業","東S","6910","-100.0(-1.43%)","6,910.0","-1.43","5,390","0.95"
"5940","不二サッシ","東S","953","+0.0(+0.00%)","953.0","0.00","12,033","1.71"
"5941","中西製作所","東S","2681","-18.0(-0.67%)","2,681.0","-0.67","16,906","1.41"
"5942","日本フイルコン","東S","569","-5.0(-0.87%)","569.0","-0.87","12,613","0.50"
"5943","ノーリツ","東P","2108","+14.0(+0.67%)","2,108.0","0.67","102,354","0.55"
"5945","天龍製鋸","東S","2323","+25.0(+1.09%)","2,323.0","1.09","25,896","0.46"
"5946","長府製作所","東P","2009","+6.0(+0.30%)","2,009.0","0.30","68,787","0.44"
"5947","リンナイ","東P","4117.0","+17.0(+0.41%)","4,117.0","0.41","581,019","0.95"
"5949","ユニプレス","東P","1401","+10.0(+0.72%)","1,401.0","0.72","63,052","0.88"
"5950","日本パワーファスニング","東S","191","-1.0(-0.52%)","191.0","-0.52","3,570","0.60"
"5951","ダイニチ工業","東S","931","-12.0(-1.27%)","931.0","-1.27","17,744","0.39"
"5952","アマテイ","東S","214","-3.0(-1.38%)","214.0","-1.38","2,636","0.93"
"5953","昭和鉄工","福","5550","+0.0(+0.00%)","5,550.0","0.00","4,978","1.00"
"5955","ワイズＨＬＤＧ","東S","96","-1.0(-1.03%)","96.0","-1.03","13,787","0.82"
"5956","トーソー","東S","660","-10.0(-1.49%)","660.0","-1.49","6,600","0.50"
"5957","日東精工","東P","740","-4.0(-0.54%)","740.0","-0.54","29,589","0.43"
"5958","三洋工業","東S","4580","-75.0(-1.61%)","4,580.0","-1.61","16,122","0.85"
"5959","岡部","東P","989","-6.0(-0.60%)","989.0","-0.60","46,770","0.90"
"5962","浅香工業","東S","1793","-19.0(-1.05%)","1,793.0","-1.05","1,859","0.68"
"5965","フジマック","東S","1121","-12.0(-1.06%)","1,121.0","-1.06","15,999","0.51"
"5967","ＴＯＮＥ","東S","490","-1.0(-0.20%)","490.0","-0.20","11,479","0.37"
"5969","ロブテックス","東S","1237","+0.0(+0.00%)","1,237.0","0.00","2,474","0.42"
"5970","ジーテクト","東P","2022","-11.0(-0.54%)","2,022.0","-0.54","88,829","1.31"
"5971","共和工業所","東S","7150","+30.0(+0.42%)","7,150.0","0.42","9,724","5.00"
"5973","トーアミ","東S","560","+6.0(+1.08%)","560.0","1.08","3,584","1.94"
"5974","中国工業","東S","873","-20.0(-2.24%)","873.0","-2.24","2,986","2.34"
"5975","東プレ","東P","2550","-52.0(-2.00%)","2,550.0","-2.00","137,756","0.81"
"5976","高周波熱錬","東P","1349","+2.0(+0.15%)","1,349.0","0.15","46,534","0.83"
"5981","東京製綱","東P","1703","-2.0(-0.12%)","1,703.0","-0.12","27,705","0.98"
"5982","マルゼン","東S","3750","-40.0(-1.06%)","3,750.0","-1.06","74,175","1.15"
"5983","イワブチ","東S","12340","+70.0(+0.57%)","12,340.0","0.57","13,574","1.89"
"5984","兼房","東S","803","-2.0(-0.25%)","803.0","-0.25","11,491","1.18"
"5985","サンコール","東S","989","-5.0(-0.50%)","989.0","-0.50","33,683","1.46"
"5986","モリテック　スチール","東S","199","-1.0(-0.50%)","199.0","-0.50","4,489","0.43"
"5988","パイオラックス","東P","1789","-8.0(-0.45%)","1,789.0","-0.45","66,290","0.58"
"5989","エイチワン","東P","1474","-10.0(-0.67%)","1,474.0","-0.67","41,851","1.38"
"5990","スーパーツール","東S","1990","+3.0(+0.15%)","1,990.0","0.15","4,708","1.74"
"5991","ニッパツ","東P","2770.0","-5.0(-0.18%)","2,770.0","-0.18","640,053","1.21"
"5992","中央発條","東S","3495","-60.0(-1.69%)","3,495.0","-1.69","89,271","0.96"
"5994","ファインシンター","東S","1804","-4.0(-0.22%)","1,804.0","-0.22","7,974","1.23"
"5997","協立エアテック","東S","754","+15.0(+2.03%)","754.0","2.03","4,524","1.04"
"5998","アドバネクス","東S","1896","+75.0(+4.12%)","1,896.0","4.12","7,875","3.59"
"6005","三浦工業","東P","3231.0","-17.0(-0.52%)","3,231.0","-0.52","404,816","0.79"
"6013","タクマ","東P","2578","+9.0(+0.35%)","2,578.0","0.35","207,624","0.73"
"6016","ジャパンエンジン","東S","13760","+90.0(+0.66%)","13,760.0","0.66","115,584","1.02"
"6018","阪神内燃機工業","東S","4190","-55.0(-1.30%)","4,190.0","-1.30","13,611","1.34"
"6022","赤阪鐵工所","東S","4570","+25.0(+0.55%)","4,570.0","0.55","7,038","0.43"
"6023","ダイハツインフィニアース","東S","2748","+31.0(+1.14%)","2,748.0","1.14","87,524","1.04"
"6027","弁護士ドットコム","東P","3040","+40.0(+1.33%)","3,040.0","1.33","68,757","0.45"
"6029","アトラグループ","東S","176","+3.0(+1.73%)","176.0","1.73","1,811","0.60"
"6030","アドベンチャー","東G","1767","+57.0(+3.33%)","1,767.0","3.33","14,099","4.19"
"6031","ＺＥＴＡ","東G","328","+3.0(+0.92%)","328.0","0.92","8,452","0.59"
"6033","エクストリーム","東G","1404","+2.0(+0.14%)","1,404.0","0.14","7,733","0.17"
"6034","ＭＲＴ","東G","648","+2.0(+0.31%)","648.0","0.31","3,706","1.56"
"6035","アイ・アールジャパンＨＬＤＧ","東P","811","+11.0(+1.38%)","811.0","1.38","14,468","0.92"
"6036","ＫｅｅＰｅｒ技研","東P","3255","-30.0(-0.91%)","3,255.0","-0.91","92,054","1.83"
"6037","楽待","東S","1098","+30.0(+2.81%)","1,098.0","2.81","21,690","2.70"
"6038","イード","東G","964","-1.0(-0.10%)","964.0","-0.10","4,880","1.04"
"6039","日本動物高度医療センター","東G","1346","+46.0(+3.54%)","1,346.0","3.54","19,370","2.36"
"6040","日本スキー場開発","東G","528","-6.0(-1.12%)","528.0","-1.12","25,349","0.78"
"6042","ニッキ","東S","3785","+0.0(+0.00%)","3,785.0","0.00","7,570","2.00"
"6044","三機サービス","東S","1842","+8.0(+0.44%)","1,842.0","0.44","12,127","0.37"
"6045","レントラックス","東G","1844","-66.0(-3.46%)","1,844.0","-3.46","14,707","0.23"
"6046","リンクバル","東G","138","-3.0(-2.13%)","138.0","-2.13","2,691","0.28"
"6047","Ｇｕｎｏｓｙ","東P","582","+18.0(+3.19%)","582.0","3.19","14,106","1.35"
"6049","イトクロ","東G","264","-1.0(-0.38%)","264.0","-0.38","5,988","2.13"
"6050","イー・ガーディアン","東P","1736","+15.0(+0.87%)","1,736.0","0.87","20,717","1.58"
"6054","リブセンス","東S","121","+1.0(+0.83%)","121.0","0.83","3,407","0.39"
"6055","ジャパンマテリアル","東P","1719","+94.0(+5.78%)","1,719.0","5.78","180,752","3.51"
"6058","ベクトル","東P","1529","+76.0(+5.23%)","1,529.0","5.23","71,732","1.06"
"6059","ウチヤマＨＬＤＧ","東S","392","+2.0(+0.51%)","392.0","0.51","8,475","2.65"
"6060","こころネット","東S","1338","+17.0(+1.29%)","1,338.0","1.29","5,142","2.80"
"6061","ユニバーサル園芸社","東S","3160","+60.0(+1.94%)","3,160.0","1.94","31,758","0.47"
"6062","チャーム・ケア","東P","1304","+6.0(+0.46%)","1,304.0","0.46","42,656","0.74"
"6063","日本エマージェンシーアシスタン","東S","945","-5.0(-0.53%)","945.0","-0.53","2,381","0.44"
"6069","トレンダーズ","東G","1069","-12.0(-1.11%)","1,069.0","-1.11","8,660","0.84"
"6070","キャリアリンク","東P","2695","+3.0(+0.11%)","2,695.0","0.11","33,972","1.37"
"6071","ＩＢＪ","東P","731","-1.0(-0.14%)","731.0","-0.14","30,702","0.72"
"6072","地盤ネットＨＬＤＧ","東S","198","-16.0(-7.48%)","198.0","-7.48","4,583","3.26"
"6073","アサンテ","東P","1619","+1.0(+0.06%)","1,619.0","0.06","19,992","0.76"
"6074","ジェイエスエス","東S","545","-2.0(-0.37%)","545.0","-0.37","2,194","0.83"
"6076","アメイズ","福","1250","-3.0(-0.24%)","1,250.0","-0.24","19,005","0.65"
"6078","バリューＨＲ","東P","1411","-4.0(-0.28%)","1,411.0","-0.28","38,657","0.75"
"6080","Ｍ＆Ａキャピタルパートナーズ","東P","3425","+65.0(+1.93%)","3,425.0","1.93","108,775","0.73"
"6081","アライドアーキテクツ","東G","335","+17.0(+5.35%)","335.0","5.35","5,326","0.27"
"6082","ライドオンエクスプレスＨＬＤＧ","東S","1036","-1.0(-0.10%)","1,036.0","-0.10","11,333","1.25"
"6083","ＥＲＩ　ＨＬＤＧ","東S","4655","+115.0(+2.53%)","4,655.0","2.53","36,460","1.56"
"6085","アーキテクツ・スタジオ・ジャパ","東G","374","+7.0(+1.91%)","374.0","1.91","4,296","0.53"
"6086","シンメンテＨＬＤＧ","東G","1229","+4.0(+0.33%)","1,229.0","0.33","26,628","0.39"
"6087","アビスト","東S","3395","-5.0(-0.15%)","3,395.0","-0.15","13,512","1.08"
"6088","シグマクシス・ＨＬＤＧ","東P","849","+20.0(+2.41%)","849.0","2.41","73,014","1.17"
"6089","ウィルグループ","東P","1202","-3.0(-0.25%)","1,202.0","-0.25","27,789","0.85"
"6090","ヒューマン・メタボローム・テク","東S","698","+0.0(+0.00%)","698.0","0.00","4,132","1.06"
"6091","ウエスコＨＬＤＧ","東S","845","+5.0(+0.60%)","845.0","0.60","11,600","1.38"
"6092","エンバイオＨＬＤＧ","東S","623","+5.0(+0.81%)","623.0","0.81","5,093","1.27"
"6093","エスクロー・エージェント・ジャ","東S","175","+3.0(+1.74%)","175.0","1.74","8,041","0.72"
"6094","フリークアウトＨＬＤＧ","東G","539","+2.0(+0.37%)","539.0","0.37","9,714","1.13"
"6096","レアジョブ","東S","325","+7.0(+2.20%)","325.0","2.20","3,200","4.25"
"6098","リクルートＨＬＤＧ","東P","8588.0","+89.0(+1.05%)","8,588.0","1.05","13,430,876","0.89"
"6099","エラン","東P","698","+8.0(+1.16%)","698.0","1.16","42,299","1.28"
"6101","ツガミ","東P","3155","+25.0(+0.80%)","3,155.0","0.80","151,440","0.45"
"6103","オークマ","東P","3970","+15.0(+0.38%)","3,970.0","0.38","268,016","0.61"
"6104","芝浦機械","東P","4420","-5.0(-0.11%)","4,420.0","-0.11","109,706","1.14"
"6111","旭精機工業","名M","2254","+30.0(+1.35%)","2,254.0","1.35","6,962","0.66"
"6113","アマダ","東P","2031.0","+12.0(+0.59%)","2,031.0","0.59","666,519","0.79"
"6118","アイダエンジニアリング","東P","1260","+4.0(+0.32%)","1,260.0","0.32","80,592","0.75"
"6125","岡本工作機械製作所","東S","5080","+100.0(+2.01%)","5,080.0","2.01","34,055","0.78"
"6134","ＦＵＪＩ","東P","4055.0","+27.0(+0.67%)","4,055.0","0.67","396,675","0.73"
"6135","牧野フライス製作所","東P","11260","+120.0(+1.08%)","11,260.0","1.08","280,305","1.21"
"6136","オーエスジー","東P","2589.5","+16.5(+0.64%)","2,589.5","0.64","248,969","0.89"
"6137","小池酸素工業","東S","1968","-3.0(-0.15%)","1,968.0","-0.15","44,506","0.82"
"6138","ダイジェット工業","東S","1037","+4.0(+0.39%)","1,037.0","0.39","3,104","2.11"
"6140","旭ダイヤモンド工業","東P","892","+1.0(+0.11%)","892.0","0.11","44,501","1.29"
"6141","ＤＭＧ森精機","東P","2834.0","+10.0(+0.35%)","2,834.0","0.35","403,352","0.76"
"6142","富士精工","名M","1620","+2.0(+0.12%)","1,620.0","0.12","6,977","0.32"
"6143","ソディック","東P","1108","+33.0(+3.07%)","1,108.0","3.07","60,710","1.28"
"6144","西部電機","東S","2864","+1.0(+0.03%)","2,864.0","0.03","43,418","1.13"
"6145","ＮＩＴＴＯＫＵ","東S","2507","+7.0(+0.28%)","2,507.0","0.28","45,374","0.53"
"6146","ディスコ","東P","67950.0","-620.0(-0.90%)","67,950.0","-0.90","7,368,940","1.49"
"6147","ヤマザキ","東S","331","+1.0(+0.30%)","331.0","0.30","1,516","0.24"
"6149","小田原エンジニアリング","東S","2254","+21.0(+0.94%)","2,254.0","0.94","14,409","0.76"
"6150","タケダ機械","東S","3270","+20.0(+0.62%)","3,270.0","0.62","3,335","0.18"
"6151","日東工器","東P","1928","+10.0(+0.52%)","1,928.0","0.52","36,930","1.18"
"6155","高松機械工業","東S","481","-7.0(-1.43%)","481.0","-1.43","5,301","3.36"
"6156","エーワン精密","東S","1911","-4.0(-0.21%)","1,911.0","-0.21","10,128","1.24"
"6157","日進工具","東S","885","-6.0(-0.67%)","885.0","-0.67","22,156","0.93"
"6158","和井田製作所","東S","912","-5.0(-0.55%)","912.0","-0.55","6,410","0.14"
"6159","ミクロン精密","東S","2210","+52.0(+2.41%)","2,210.0","2.41","17,030","1.00"
"6161","エスティック","東S","1023","-4.0(-0.39%)","1,023.0","-0.39","12,039","2.05"
"6165","パンチ工業","東S","500","-2.0(-0.40%)","500.0","-0.40","13,811","0.48"
"6166","中村超硬","東G","640","+59.0(+10.15%)","640.0","10.15","7,053","1.54"
"6167","冨士ダイス","東P","1060","-9.0(-0.84%)","1,060.0","-0.84","21,200","0.54"
"6171","土木管理総合試験所","東S","458","+2.0(+0.44%)","458.0","0.44","6,521","0.57"
"6173","アクアライン","東G","188","-7.0(-3.59%)","188.0","-3.59","1,572","1.03"
"6176","ブランジスタ","東S","700","-7.0(-0.99%)","700.0","-0.99","10,203","1.33"
"6177","ＡｐｐＢａｎｋ","東G","133","+5.0(+3.91%)","133.0","3.91","3,324","1.47"
"6178","日本郵政","東P","1830.5","+23.0(+1.27%)","1,830.5","1.27","5,441,958","0.93"
"6180","ＧＭＯメディア","東G","5480","+20.0(+0.37%)","5,480.0","0.37","10,241","1.40"
"6181","タメニー","東G","115","+0.0(+0.00%)","115.0","0.00","3,694","1.62"
"6182","メタリアル","東G","540","+2.0(+0.37%)","540.0","0.37","5,880","0.45"
"6183","ベルシステム２４ＨＬＤＧ","東P","1460","+5.0(+0.34%)","1,460.0","0.34","108,803","0.69"
"6184","鎌倉新書","東P","611","+6.0(+0.99%)","611.0","0.99","25,170","0.79"
"6185","ＳＭＮ","東S","485","+14.0(+2.97%)","485.0","2.97","7,167","4.27"
"6186","一蔵","東S","384","+0.0(+0.00%)","384.0","0.00","2,124","0.93"
"6189","グローバルキッズＣＯＭＰＡＮＹ","東S","783","+6.0(+0.77%)","783.0","0.77","7,476","0.29"
"6190","フェニックスバイオ","東G","479","+13.0(+2.79%)","479.0","2.79","1,953","0.74"
"6191","エアトリ","東P","768","+5.0(+0.66%)","768.0","0.66","17,235","1.17"
"6193","バーチャレクスＨＬＤＧ","東G","1039","+3.0(+0.29%)","1,039.0","0.29","3,127","1.56"
"6194","アトラエ","東P","705","+2.0(+0.28%)","705.0","0.28","16,093","1.15"
"6195","ホープ","東G","251","+17.0(+7.26%)","251.0","7.26","4,133","4.77"
"6196","ストライク","東P","4260","+80.0(+1.91%)","4,260.0","1.91","81,805","1.40"
"6197","ソラスト","東P","896","+11.0(+1.24%)","896.0","1.24","84,889","1.64"
"6198","キャリア","東G","252","+1.0(+0.40%)","252.0","0.40","2,173","4.22"
"6199","セラク","東S","1626","-9.0(-0.55%)","1,626.0","-0.55","22,276","0.68"
"6200","インソース","東P","831","+9.0(+1.09%)","831.0","1.09","70,837","2.07"
"6201","豊田自動織機","東P","19575.0","+10.0(+0.05%)","19,575.0","0.05","6,378,330","0.87"
"6203","豊和工業","東S","1427","-13.0(-0.90%)","1,427.0","-0.90","17,906","1.06"
"6208","石川製作所","東S","1647","+9.0(+0.55%)","1,647.0","0.55","10,518","0.93"
"6209","リケンＮＰＲ","東P","3755","+5.0(+0.13%)","3,755.0","0.13","106,071","1.22"
"6210","ＴＯＹＯイノベックス","東S","691","+1.0(+0.14%)","691.0","0.14","14,306","0.70"
"6217","津田駒工業","東S","554","-13.0(-2.29%)","554.0","-2.29","3,771","0.83"
"6218","エンシュウ","東S","546","+2.0(+0.37%)","546.0","0.37","3,469","1.85"
"6222","島精機製作所","東P","1061","-6.0(-0.56%)","1,061.0","-0.56","36,923","0.78"
"6223","西部技研","東S","1785","+42.0(+2.41%)","1,785.0","2.41","36,592","3.88"
"6224","ＪＲＣ","東G","1346","+43.0(+3.30%)","1,346.0","3.30","17,631","0.80"
"6225","エコム","名M","2012","-107.0(-5.05%)","2,012.0","-5.05","3,863","3.67"
"6226","守谷輸送機工業","東S","5370","-100.0(-1.83%)","5,370.0","-1.83","94,906","0.69"
"6227","ＡＩメカテック","東S","8650","+220.0(+2.61%)","8,650.0","2.61","54,348","0.57"
"6228","ジェイ・イー・ティ","東S","797","-35.0(-4.21%)","797.0","-4.21","10,736","0.27"
"6229","オーケーエム","東S","1914","+12.0(+0.63%)","1,914.0","0.63","8,706","0.70"
"6230","ＳＡＮＥＩ","東S","2245","-15.0(-0.66%)","2,245.0","-0.66","10,278","0.88"
"6231","木村工機","東S","13080","+110.0(+0.85%)","13,080.0","0.85","50,345","0.59"
"6232","ＡＣＳＬ","東G","1108","-2.0(-0.18%)","1,108.0","-0.18","19,994","0.59"
"6233","ＫＬＡＳＳ","東S","418","+1.0(+0.24%)","418.0","0.24","2,253","0.92"
"6235","オプトラン","東P","2105","+14.0(+0.67%)","2,105.0","0.67","93,374","0.75"
"6237","イワキポンプ","東P","2663","-36.0(-1.33%)","2,663.0","-1.33","59,893","1.29"
"6238","フリュー","東P","1069","+6.0(+0.56%)","1,069.0","0.56","30,248","1.01"
"6239","ナガオカ","東S","1447","+16.0(+1.12%)","1,447.0","1.12","10,242","0.44"
"6240","ヤマシンフィルタ","東P","609","-8.0(-1.30%)","609.0","-1.30","42,593","1.33"
"6245","ヒラノテクシード","東S","1881","+20.0(+1.07%)","1,881.0","1.07","28,957","0.36"
"6246","テクノスマート","東S","2080","+14.0(+0.68%)","2,080.0","0.68","25,796","0.99"
"6247","日阪製作所","東P","1566","-6.0(-0.38%)","1,566.0","-0.38","44,996","1.35"
"6248","横田製作所","東S","1705","-18.0(-1.04%)","1,705.0","-1.04","3,194","2.25"
"6249","ゲームカードＨＬＤＧ","東S","3140","+60.0(+1.95%)","3,140.0","1.95","46,100","1.40"
"6250","やまびこ","東P","3355","+15.0(+0.45%)","3,355.0","0.45","147,984","0.66"
"6254","野村マイクロ・サイエンス","東P","3585","-75.0(-2.05%)","3,585.0","-2.05","145,580","0.69"
"6255","エヌ・ピー・シー","東G","770","+18.0(+2.39%)","770.0","2.39","16,980","0.86"
"6257","藤商事","東S","1095","+0.0(+0.00%)","1,095.0","0.00","25,071","0.92"
"6258","平田機工","東P","2664","-4.0(-0.15%)","2,664.0","-0.15","85,963","0.62"
"6262","ＰＥＧＡＳＵＳ","東S","759","-6.0(-0.78%)","759.0","-0.78","18,845","0.39"
"6264","マルマエ","東P","2759","+99.0(+3.72%)","2,759.0","3.72","36,013","1.52"
"6265","コンバム","東S","2518","+27.0(+1.08%)","2,518.0","1.08","4,172","0.75"
"6266","タツモ","東P","2810","-123.0(-4.19%)","2,810.0","-4.19","41,707","0.65"
"6267","ゼネラルパッカー","東S","4090","-45.0(-1.09%)","4,090.0","-1.09","7,357","0.27"
"6268","ナブテスコ","東P","4151.0","-29.0(-0.69%)","4,151.0","-0.69","490,087","1.02"
"6269","三井海洋開発","東P","13900.0","+395.0(+2.92%)","13,900.0","2.92","950,000","2.02"
"6272","レオン自動機","東P","1541","+16.0(+1.05%)","1,541.0","1.05","43,752","1.14"
"6273","ＳＭＣ","東P","63080.0","+1,180.0(+1.91%)","63,080.0","1.91","4,028,879","0.55"
"6276","シリウスビジョン","東S","317","-8.0(-2.46%)","317.0","-2.46","1,814","0.44"
"6277","ホソカワミクロン","東P","6230","+100.0(+1.63%)","6,230.0","1.63","98,001","0.87"
"6278","ユニオンツール","東P","10240","-390.0(-3.67%)","10,240.0","-3.67","202,547","0.89"
"6279","瑞光","東P","1022","-3.0(-0.29%)","1,022.0","-0.29","29,434","1.09"
"6282","オイレス工業","東P","2504","-29.0(-1.14%)","2,504.0","-1.14","83,384","0.94"
"6284","日精エー・エス・ビー機械","東P","6570","-60.0(-0.90%)","6,570.0","-0.90","98,492","0.77"
"6286","靜甲","東S","1444","+39.0(+2.78%)","1,444.0","2.78","9,362","3.19"
"6287","サトー","東P","2401","-14.0(-0.58%)","2,401.0","-0.58","80,760","1.33"
"6289","技研製作所","東P","2095","+20.0(+0.96%)","2,095.0","0.96","56,722","0.93"
"6291","日本エアーテック","東S","1231","+1.0(+0.08%)","1,231.0","0.08","12,973","0.66"
"6292","カワタ","東S","816","-2.0(-0.24%)","816.0","-0.24","5,883","1.49"
"6293","日精樹脂工業","東P","895","-13.0(-1.43%)","895.0","-1.43","19,933","0.52"
"6294","オカダアイヨン","東P","2387","+5.0(+0.21%)","2,387.0","0.21","20,000","0.62"
"6298","ワイエイシイＨＬＤＧ","東P","1105","-20.0(-1.78%)","1,105.0","-1.78","21,567","0.67"
"6301","小松製作所","東P","5675.0","+24.0(+0.42%)","5,675.0","0.42","5,279,683","0.94"
"6302","住友重機械工業","東P","4801.0","+34.0(+0.71%)","4,801.0","0.71","590,069","0.81"
"6305","日立建機","東P","5208.0","+8.0(+0.15%)","5,208.0","0.15","1,120,319","0.62"
"6306","日工","東P","818","+0.0(+0.00%)","818.0","0.00","32,720","1.12"
"6307","サンセイ","東S","595","+0.0(+0.00%)","595.0","0.00","5,348","0.43"
"6309","巴工業","東P","1960","+18.0(+0.93%)","1,960.0","0.93","58,701","1.04"
"6310","井関農機","東P","1813","-23.0(-1.25%)","1,813.0","-1.25","41,672","1.41"
"6312","フロイント産業","東S","1077","+0.0(+0.00%)","1,077.0","0.00","19,817","3.43"
"6315","ＴＯＷＡ","東P","3000","-90.0(-2.91%)","3,000.0","-2.91","225,472","0.83"
"6316","丸山製作所","東S","2389","+48.0(+2.05%)","2,389.0","2.05","12,015","3.35"
"6317","北川鉄工所","東S","1849","-5.0(-0.27%)","1,849.0","-0.27","17,844","0.48"
"6322","タクミナ","東S","1598","+3.0(+0.19%)","1,598.0","0.19","12,350","6.43"
"6323","ローツェ","東P","3563.0","+52.0(+1.48%)","3,563.0","1.48","628,513","0.49"
"6324","ハーモニック・ドライブ・システ","東S","3665","-105.0(-2.79%)","3,665.0","-2.79","352,996","1.35"
"6325","タカキタ","東S","410","+3.0(+0.74%)","410.0","0.74","5,740","0.66"
"6326","クボタ","東P","2373.5","-14.5(-0.61%)","2,373.5","-0.61","2,702,745","1.00"
"6327","北川精機","東S","1009","+55.0(+5.77%)","1,009.0","5.77","8,526","19.46"
"6328","荏原実業","東P","2326","-34.0(-1.44%)","2,326.0","-1.44","60,150","1.01"
"6330","東洋エンジニアリング","東P","5480","+705.0(+14.76%)","5,480.0","14.76","211,301","0.69"
"6331","三菱化工機","東P","3445","+20.0(+0.58%)","3,445.0","0.58","81,791","1.21"
"6332","月島ＨＬＤＧ","東P","3050","-50.0(-1.61%)","3,050.0","-1.61","122,384","0.83"
"6333","帝国電機製作所","東P","3130","-30.0(-0.95%)","3,130.0","-0.95","52,835","1.19"
"6334","明治機械","東S","402","-2.0(-0.50%)","402.0","-0.50","4,584","0.26"
"6335","東京機械製作所","東S","529","+8.0(+1.54%)","529.0","1.54","4,618","9.18"
"6336","石井表記","東S","794","+2.0(+0.25%)","794.0","0.25","6,492","1.74"
"6337","テセック","東S","2500","+44.0(+1.79%)","2,500.0","1.79","13,947","0.60"
"6338","タカトリ","東S","1531","-63.0(-3.95%)","1,531.0","-3.95","8,407","0.57"
"6339","新東工業","東P","1167","+9.0(+0.78%)","1,167.0","0.78","63,696","1.21"
"6340","澁谷工業","東P","3610","-20.0(-0.55%)","3,610.0","-0.55","101,621","0.53"
"6342","太平製作所","東S","2960","-6.0(-0.20%)","2,960.0","-0.20","4,440","1.50"
"6343","フリージア・マクロス","東S","181","+3.0(+1.69%)","181.0","1.69","8,163","1.40"
"6345","アイチ","東P","1397","-2.0(-0.14%)","1,397.0","-0.14","104,174","1.22"
"6347","プラコー","東S","382","+11.0(+2.96%)","382.0","2.96","3,930","0.87"
"6349","小森コーポレーション","東P","1633","-12.0(-0.73%)","1,633.0","-0.73","87,331","2.06"
"6351","鶴見製作所","東P","2269","-15.0(-0.66%)","2,269.0","-0.66","115,326","0.90"
"6356","日本ギア工業","東S","946","-27.0(-2.77%)","946.0","-2.77","13,509","0.81"
"6357","三精テクノロジーズ","東S","2621","-14.0(-0.53%)","2,621.0","-0.53","50,669","1.00"
"6358","酒井重工業","東P","2229","-7.0(-0.31%)","2,229.0","-0.31","19,817","1.38"
"6360","東京自働機械製作所","東S","4145","+15.0(+0.36%)","4,145.0","0.36","6,019","1.75"
"6361","荏原製作所","東P","4967.0","+15.0(+0.30%)","4,967.0","0.30","2,295,743","0.62"
"6363","酉島製作所","東P","2160","-14.0(-0.64%)","2,160.0","-0.64","62,739","0.92"
"6364","ＡＩＲＭＡＮ","東P","1844","-11.0(-0.59%)","1,844.0","-0.59","55,625","0.69"
"6365","電業社機械製作所","東S","5670","-100.0(-1.73%)","5,670.0","-1.73","27,085","0.46"
"6366","千代田化工建設","東S","894","+36.0(+4.20%)","894.0","4.20","232,730","1.48"
"6367","ダイキン工業","東P","19755.0","+220.0(+1.13%)","19,755.0","1.13","5,790,467","0.58"
"6368","オルガノ","東P","16400.0","+100.0(+0.61%)","16,400.0","0.61","760,299","0.78"
"6369","トーヨーカネツ","東P","2661","-10.0(-0.37%)","2,661.0","-0.37","42,699","1.16"
"6370","栗田工業","東P","7381.0","+65.0(+0.89%)","7,381.0","0.89","857,677","0.54"
"6371","椿本チエイン","東P","2445","+3.0(+0.12%)","2,445.0","0.12","259,692","0.69"
